"Código","Nombre oficial","Autor"
"01","Charetea fragilis","Fukarek ex Krausch 1964"
"01.01","Charion fragilis","Krausch 1964"
"01.01.01","Charetum asperae","Corillion 1957"
"01.01.02","Charetum conniventis","Velayos, Carrasco & Cirujano 1989"
"01.01.03","Charetum fragilis","Corillion 1957"
"01.01.04","Charetum hispidae","Margalef 1947"
"01.02","Charion vulgaris","(Krause ex Krause & Lang 1977) Krause 1981"
"01.02.01","Charetum braunii","Corillion 1957"
"01.02.02","Charetum imperfectae","Cirujano 1995"
"01.02.03","Charetum vulgaris","Corillion 1957"
"01.02.04","Tolypelletum glomeratae","Corillion 1957"
"01.03","Charion canescentis","Krausch 1964"
"01.03.01","Charetum canescentis","Corillion 1957"
"01.03.02","Charetum galioidis","Corillion 1957"
"01.03.03","Lamprothamnetum papulosi","Corillion 1957"
"01.03.04","Tolypelletum hispanicae","Corillion 1957"
"01.04","Nitellion flexilis","Dambska 1966 em. Krause 1969"
"01.04.01","Nitelletum confervaceae","Corillion 1957"
"01.04.02","Nitelletum flexilis","Corillion 1957"
"01.04.03","Nitelletum opacae","Corillion 1957"
"01.05","Nitellion syncarpo-tenuissimae","Krause 1969"
"01.05.01","Tolypelletum proliferae","Guerlesquin 1961"
"02","Lemnetea","Tüxen ex O. Bolòs & Masclans 1955"
"02.01","Lemnion minoris","Tüxen ex O. Bolòs & Masclans 1955"
"02.01.01","Lemnetum gibbae","Miyawaki & J. Tüxen 1960"
"02.01.02","Lemnetum minoris","Oberdorfer ex Müller & Görs 1960"
"02.01.03","Lemno minoris-Salvinietum natantis","(Slavnic 1956) Korneck 1959"
"02.01.04","Lemno-Azolletum filiculoidis","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"02.01.05","Lemno-Spirodeletum polyrhizae","Koch 1954"
"02.02","Lemnion trisulcae","Den Hartog & Segal ex Tüxen & Schwabe in Tüxen 1974"
"02.02.01","Lemnetum trisulcae","(Kelhofer 1915) Knapp & Stoffers 1962"
"02.02.02","Riccietum fluitantis","Slavnic 1956 em. Tüxen 1974"
"02.02.03","Ricciocarpetum natantis","Segal 1963 em. Tüxen 1974"
"02.03","Lemno minoris-Hydrocharition morsus-ranae","Rivas-Martínez, Fernández-González & Loidi 1999"
"02.03.01","Lemno minoris-Hydrocharitetum morsus-ranae","Passarge 1978"
"03","Potametea","Klika in Klika & Novák 1941"
"03.01","Potamion","(Koch 1926) Libbert 1931"
"03.01.01","Groenlandio densae-Zannichellietum peltatae","Velayos, Carrasco & Cirujano 1989"
"03.01.02","Myriophyllo alterniflori-Potametum crispi","Rivas Goday 1964"
"03.01.03","Myriophyllo verticillati-Potametum pectinati","Costa, Boira, Peris & Stübing 1986"
"03.01.04","Potametum colorati","Allorge 1922"
"03.01.05","Potametum denso-nodosi","O. Bolòs 1957"
"03.01.06","Potametum lucentis","Hueck 1931"
"03.01.07","Potametum pectinati","Cartensen 1955"
"03.01.08","Potametum perfoliato-crispi","Bellot 1951"
"03.01.09","Potametum trichoidis","(Freitag, Markus & Schwipel 1958) Tüxen 1974"
"03.01.10","Potamo pectinati-Myriophylletum spicati","Rivas Goday 1964 corr. Conesa 1990"
"03.01.11","Ranunculo trichophylli-Groenlandietum densae","(Kohler, Brinkmeier & Vollrath 1974) Passarge 1994"
"03.01.12","Ranunculo eradicati-Potametum alpini","Ballesteros & Gacia 1991"
"03.01.13","Stratiotetum aloidis","Nowinski 1930"
"03.01.14","Zannichellio palustris-Potametum colorati","O. Bolòs & Molinier in O. Bolòs 1996"
"03.02","Nymphaeion albae","Oberdorfer 1957"
"03.02.01","Myriophyllo alterniflori-Potametum natantis","Rivas-Martínez, Fernández-González, Sánchez-Mata, Pizarro & Sardinero 2002"
"03.02.02","Nymphaeetum albo-luteae","Nowinski 1928"
"03.02.03","Limnanthemetum nymphoidis","Bellot 1951"
"03.03","Ranunculion aquatilis","Passarge 1964"
"03.03.01","Callitrichetum regis-jubae","Galán in A.V. Pérez, Galán, P. Navas, D. Navas, Y. Gil & Cabezudo 1999"
"03.03.02","Callitricho platycarpae-Elatinetum alsinastri","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"03.03.03","Callitricho brutiae-Ranunculetum peltati","Pizarro & Rivas-Martínez 2002"
