"Código","Nombre científico oficial"
"Abapar","Abax parallelepipedus"
"Abdaff","Abdera affinis"
"Abdfle","Abdera flexuosa"
"Abdqua","Abdera quadrifasciata"
"Abiabi","Abietinella abietina var. abietina"
"Abiab2","Abietinella abietina var. hystricosa"
"Abialb","Abies alba"
"Abllae","Ablattaria laevigata"
"Ablsub","Ablattaria subtriangula"
"Abrgro","Abraxas grossulariata"
"Abrpan","Abraxas pantaria"
"Abuthe","Abutilon theophrasti"
"Acaaed","Acanthocinus aedilis"
"Acaery","Acanthodactylus erythrurus"
"Acagri","Acanthocinus griseus"
"Acamed","Acaulon mediterraneum"
"Acatri","Acaulon triquetrum"
"Acavir","Acasis viretata"
"Accgen","Accipiter gentilis"
"Accnis","Accipiter nisus"
"Aceant","Aceras anthropophorum"
"Acecam","Acer campestre"
"Acemon","Acer monspessulanum"
"Acemo2","Acer monspessulanum x campestre"
"Aceopa","Acer opalus"
"Acepse","Acer pseudoplatanus"
"Achage","Achillea ageratum"
"Achatr","Acherontia atropos"
"Achdom","Acheta domesticus"
"Achgos","Acheta gossypii"
"Achmil","Achillea millefolium subsp. millefolium"
"Achodo","Achillea odorata"
"Achtom","Achillea tomentosa"
"Acialp","Acinos alpinus"
"Aclund","Aclypea undata"
"Acmcri","Acmaeodera crinita"
"Acmdeg","Acmaeodera degener"
"Acmfla","Acmaeoderella flavofasciata"
"Acmpra","Acmaeops pratensis"
"Acmpul","Acmaeodera pulchra"
"Acoant","Aconitum anthora"
"Acoluc","Acontia lucida"
"Acovul","Aconitum vulparia subsp. neapolitanum"
"Acraru","Acrocephalus arundinaceus"
"Acrfun","Acrotona fungi"
"Acrmeg","Acronicta megacephala"
"Acrobl","Acrobasis obliqua"
"Acrpal","Acrocephalus paludicola"
"Acrpor","Acrobasis porphyrella"
"Acrrum","Acronicta rumicis"
"Acrsch","Acrocephalus schoenobaenus"
"Acrsci","Acrocephalus scirpaceus"
"Acrtri","Acronicta tridens"
"Acrtur","Acrida turrita"
"Acthyp","Actitis hypoleucos"
"Actim","Actimedida"
"Actspi","Actaea spicata"
"Acucer","Aculepeira ceropegia"
"Adacas","Adalbertia castiliaria"
"Adacon","Adactylotis contaminaria"
"Adages","Adactylotis gesticularia"
"Adecom","Adenocarpus complicatus"
"Adehis","Adenocarpus hispanicus"
"Adehi2","Adenocarpus hispanicus subsp. neilense"
"Adicap","Adiantum capillus-veneris"
"Adoaes","Adonis aestivalis subsp. aestivalis"
"Adoae2","Adonis aestivalis subsp. squarrosa"
"Adofla","Adonis flammea"
"Adomic","Adonis microcarpa"
"Adover","Adonis vernalis"
"Adsbol","Adscita bolivari"
"Adsger","Adscita geryon"
"Adsjor","Adscita jordani"
"Adssch","Adscita schmidti"
"Adssta","Adscita statices"
"Aegcau","Aegithalos caudatus"
"Aegcla","Aegomorphus clavipes"
"Aeggen","Aegilops geniculata"
"Aegmon","Aegypius monachus"
"Aegsca","Aegosoma scabricorne"
"Aegven","Aegilops ventricosa"
"Aellit","Aeluropus littoralis"
"Aesaff","Aeshna affinis"
"Aescya","Aeshna cyanea"
"Aeship","Aesculus hippocastanum"
"Aesjun","Aeshna juncea"
"Aesmix","Aeshna mixta"
"Aetmar","Aethionema marginatum"
"Aetmon","Aethionema monospermum"
"Aetsax","Aethionema saxatile"
"Aettho","Aethionema thomasianum"
"Agaasp","Agapanthia asphodeli"
"Agabig","Agabus biguttatus"
"Agabip","Agabus bipustulatus"
"Agabru","Agabus brunneus"
"Agacar","Agapanthia cardui"
"Agadah","Agapanthia dahli"
"Agafis","Agapornis fischeri"
"Agagut","Agabus guttatus"
"Agakir","Agapanthia kirbyi"
"Aganeb","Agabus nebulosus"
"Aganig","Agathidium nigripenne"
"Agasem","Agathidium seminulum"
"Agaspp","Agabus spp."
"Agavil","Agapanthia villosoviridescens"
"Agdada","Agdistis adactyla"
"Aglinf","Aglaope infausta"
"Aglio","Aglais io"
"Aglpin","Aglossa pinguinalis"
"Agltau","Aglia tau"
"Aglurt","Aglais urticae"
"Agomar","Agonum marginatum"
"Agosex","Agonum sexpunctatum"
"Agovir","Agonum viridicupreum"
"Agraer","Agriopis aerugaria"
"Agralp","Agrostis alpina"
"Agrang","Agrilus angustulus"
"Agraur","Agriopis aurantaria"
"Agrbig","Agrilus biguttatus"
"Agrbli","Agrochola blidaensis"
"Agrbri","Agrotis brigramma"
"Agrcan","Agrostis canina"
"Agrcap","Agrostis capillaris"
"Agrcas","Agrostis castellana"
"Agrcir","Agrochola circellaris"
"Agrcon","Agrius convolvuli"
"Agrcur","Agrostis curtisii"
"Agrdel","Agrostis delicatula"
