"Código","Nombre oficial","Autor","Definición oficial"
"111010","Zosterion","Christiansen 1934",""
"111011","Zosteretum marinae","(Borgesen 1905) Harmsen 1936","Comunidades litorales de pelotas marinas (fondos marinos)"
"111020","Syringodio-Thalassion testudinum","Borhidi 1996","Comunidades marinas, bénticas, infralitorales de cormófitos y macrotalófitos"
"111021","Cymodoceetum nodosae","Feldmann 1937","Comunidades marinas, infralitorales de Cymodocea nodosa."
"111022","Halophiletum decipientis","Wildpret & M.C. Gil in. Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Comunidades talo-cormofíticas de Halophila decipiens"
"112010","Posidonion","Br.-Bl., Roussine & Nègre 1952","Comunidades marinas, infralitorales de Posidonia oceanica"
"112011","Posidonietum oceanicae","Funk 1927","Comunidades marinas, infralitorales de Posidonia oceanica"
"113010","Estuarios (comunidades bentónicas de algas e invertebrados)","","Estuarios (comunidades bentónicas de algas e invertebrados)"
"115010","Zosterion","Christiansen 1934","Comunidades litorales de Zostera sp."
"115011","Zosteretum marinae","(Borgesen 1905) Harmsen 1936","Comunidades litorales de pelotas marinas (lagunas y albuferas)"
"115012","Zosteretum noltii","Harmsen 1936","Comunidades litorales de Zostera noltii (lagunas y albuferas)"
"115020","Ranunculion aquatilis","Passarge 1964","Comunidades de batráquidos dulceacuícolas enraizados de aguas estancadas (lagunas y albuferas litorales)"
"115021","Callitricho platycarpae-Elatinetum alsinastri","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Comunidades de Callitiche platycarpa con Elatine alsinastrum"
"115022","Ranunculetum baudotii","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952","Comunidades de Ranunculus baudotii"
"115030","Ruppion maritimae","Br.-Bl. ex Westhoff in Bennema, Sissingh & Westhoff 1943","Comunidades de aguas salobres de Ruppia sp. (lagunas y albuferas litorales)"
"115031","Ruppietum spiralis","Hocquette 1927 corr. Iversen 1934","Comunidades de aguas salobres de Ruppia cirrhosa"
"115032","Eleocharitetum parvulae","(Christiansen 1934) Gillner 1960","Comunidades de aguas salobres de Eleocharis parvula"
"115033","Ruppietum drepanensis","Brullo & Furnari 1976","Comunidades de aguas salobres de Ruppia drepanensis"
"115034","Ruppietum spiralis","Hocquette 1927 corr. Iversen 1934","Comunidades de aguas salobres de Ruppia cirrhosa"
"115036","Zannichellietum pedicellatae","Nordhagen 1954","Comunidades de Zannichellia pedunculata"
"115037","Comunidad de Althenia barrandoni","","Comunidad de Althenia barrandoni"
"115038","Comunidad de Zannichellia pedicellata","","Comunidad de Zannichellia pedicellata"
"121010","Cakilion maritimae","Pignatti 1953","Herbazales halonitrófilos costeros mediterráneos"
"121011","Atriplicetum hastato-tornabeni","O. Bolòs 1962","Herbazales halonitrófilos costeros mediterráneos de salobres y rábanos marítimos"
