"Código","Nombre oficial","Definición oficial","m2 ocupados en la región mediterránea de España"
"1","Hábitat costeros y vegetación halófila","",""
"11","Aguas marinas y medios de marea","",""
"1110","Bancos de arena cubiertos permanentemente por agua marina, poco profunda","Bancos de arena sublitorales permanentemente sumergidos. La profundidad del agua casi nunca es superior a los 20m, como se refleja en las Cartas Náuticas. Incluyen bancos de arena sin vegetación y colonizados con vegetación perteneciente a [Zosteretum marinae] y [Cymodoceion nodosae].","0"
"1120","Praderas de Posidonia (Posidonion oceanicae) (*)","Praderas de Posidonia oceanica (Linnaeus) Delile, características de la zona infralitoral mediterránea (rango de profundidad: desde unas pocas decenas de centímetros hasta 30 - 40 m). Creciendo sobre substrato duro o blando, estas praderas constituyen una de las principales comunidades climax de las costas mediterráneas. Pueden soportar variaciones de temperatura e hidrodinamismo relativamente amplias, pero son sensibles a los cambios de salinidad, requiriendo generalmente salinidades del 36 a 39 por 1.000.","0"
"1130","Estuarios","Parte final de un valle fluvial, sujeto a las mareas y que se extiende a partir del límite de las aguas salobres. Los estuarios fluviales son sistemas costeros donde, contrariamente a las bahías y golfos, generalmente hay una influencia substancial del agua dulce. La mezcla de agua dulce y salada y la reducción de la corriente causan la deposición de sedimentos finos que, a menudo, forman extensas llanuras intermareales de arena y fango. En los casos donde las corrientes fluviales dominan sobre las mareales los sedimentos de depositan para formar un delta a la desembocadura del estuario. Las desembocaduras fluviales del Báltico, consideradas un subtipo de estuario, son de agua salobre y no tienen marea, y presentan grandes zonas húmedas con vegetación helofítica y acuática en zonas someras.","0"
"1140","Llanos fangosos o arenosos que no están cubiertos por el agua cuando hay marea baja","Sands and muds of the coasts of the oceans, their connected seas and associated lagoons, not covered by sea water at low tide, devoid of vascular plants, usually coated by blue algae and diatoms. They are of particular importance as feeding grounds for wildfowl and waders. The diverse intertidal communities of invertebrates and algae that occupy them can be used to define subdivisions of 11.27, eelgrass communities that may be exposed for a few hours in the course of every tide have been listed under 11.3, brackish water vegetation of permanent pools by use of those of 11.4.","0"
"1150","Lagunas costeras (*)","Las lagunas costeras son espacios abiertos de aguas costeras salobres someras, de salinidad y volumen de agua variable, las cuales pueden estar total o parcialmente separadas del mar por bancos de arena, gravas o, con menor frecuencia, rocas. La salinidad puede variar desde aguas salobres hasta hipersalinas dependiendo de las precipitaciones, la evaporación, las aportaciones de aguas dulces de tormentas, las inundaciones temporales desde el mar durante los temporales, o por intercambio mareal. Pueden tener o no vegetación de las asociaciones Ruppietea maritimae, Potametea, Zosteretea o Charetea (CORINE 91: 23.21 o 23.22).","0"
"1160","Grandes calas y bahías poco profundas.","Large indentations of the coast where, in contrast to estuaries, the influence of freshwater is generally limited. These shallow 13 indentations are generally sheltered from wave action and contain a great diversity of sediments and substrates with a well developed zonation of benthic communities. These communities have generally a high biodiversity. The limit of shallow water is sometimes defined by the distribution of the Zosteretea and Potametea associations. Several physiographic types may be included under this category providing the water is shallow over a major part of the area: embayments, fjards, rias and voes.","0"
"1170","Arrecifes","Submarino, o expuestos durante la marea baja, sustratos rocosos y concreciones biogénicas, que se limitan a las zonas sublitorales pero pueden extenderse a la zona litoral, donde hay una zonación ininterrumpida de comunidades de plantas y animales. Estos arrecifes en general, son un apoyo a las comunidades bentónicas de algas y especies de animales, incluidas las concreciones, incrustaciones y concreciones coralígenas. En el norte de las zonas bálticas, en la parte limitrofe a la superficie del agua las algas filamentosas tienen un gran desarrollo suavemente inclinado hacia la costa. [El Fucus vesiculosus] está sumergido en la profundidad de 0,5-6 m en la zona sublitorales. Una zona de algas rojas se produce por debajo de la zona de Fuco a profundidades de unos 5 a 10 m.","0"
"1180","Estructuras submarinas causadas por emisiones de gases.","Spectacular submarine complex structures, consisting of rocks, pavements and pillars up to 4 m high. These formations are due to the aggregation of sandstone by a carbonate cement resulting from microbial oxidation, mainly methane. The methane most likely originated from the microbial decomposition of fossil plant materials. The formations are interspersed with gas vents that intermittently release gas. These formations shelter a highly diversified ecosystem with brightly coloured species.","0"
"12","Acantilados marítimos y playas de guijarros","",""
"1210","Vegetación anual sobre desechos marinos acumulados","Formaciones de especies anuales o especies representativas anuales o perennes que ocupan parte de las acumulaciones de materiales procedentes de la deriva costera y acumulaciones de materia orgánica rica en nitratos (Cakiletea maritimae p.)","0"
"1230","Acantilados con vegetación de las costas atlánticas y bálticas","Vegetated cliffs exhibit a complex pattern of variation reflecting the degree of maritime exposure, geology and geomorphology, biogeographical provenance and pattern of human management. Typically, on the most exposed cliffs there is a zonation from crevice and ledge communities of the steepest slopes beside the sea ([Crithmo-Armerietalia], Géhu 1964) through to closed maritime grasslands on upper cliff slopes, cliff tops and cliff ledges where there is deeper accumulation of soils ([Silenion maritimae], Malloch 1973). Further inland and on more sheltered cliffs, these grade into a complex assemblage of maritime and paramaritime types of heath, calcareous grassland, acid grassland, therophyte, tall herb, scrub and wind-pruned woodland vegetation, each enriched by floristic elements characteristic of coastal habitats. On soft coasts with much active movement, complex assemblages of maritime and non-maritime vegetation occur.","0"
"1240","Acantilados con vegetación de las costas mediterráneas con Limonium spp. endémicos","Vegetated cliffs and rocky shores of the Mediterranean, of the Mediterraneo-temperate eastern Atlantic (south-western Iberia) and of the Black Sea. Crithmo-Limonietalia.","0"
"1250","Acantilados con vegetación endémica de las costas macaronésicas","Aerohaline communities of the sea-cliffs of the Canaries and Madeira (Frankenio-Astidamietalia latifoliae), communities of the sea-cliffs of the Azores (Festucion petraeae) dominated by the endemic Festuca petraea.","0"
"13","Marismas y pastizales salinos atlánticos y continentales","",""
"1310","Vegetación anual pionera con Salicornia y otras especies de zonas fangosas o arenosas","Formaciones compuestas principalmente por especies anuales, en particular quenopodiáceas del género Salicornia o plantas herbáceas, que colonizan lodos y arenas periódicamente inundadas de marismas mareales o interiores [Thero-Salicornietea, Frankenietea pulverulentae, Saginetea maritimae]. Subtipos:Pal. 15.11 ¿ Formaciones de Salicornia ([Thero-Salicornietalia]): formaciones de Salicornia spp., Microcnemun coralloides, Sueada maritima, o Salsola spp. que colonizan lodos inundados periódicamente en marismas costeras mareales o depresiones salinas del interior. Pal. 15.12 ¿ Comunidades pioneras halonitrófilas de clima mediterráneo (Frankenion pulverulentae): formaciones de plantas halonitrófilas anuales (Frankenia pulverulenta, Suaeda splendens, Salsola soda, Cressa cretica, Parapholis incurva, P. strigosa, Hordeum marinum, Sphenopus divaricatus) que colonizan lodos salinos de regiones mediterráneas regularmente sometidas a inundaciones y sequías extremas. Pal. 15.13 ¿ Comunidades atlánticas de cariofiláceas del género Sagina (Saginion maritimae): formaciones anuales pioneras que ocupan suelos sujetos a salinidad y humedad variables en costas, sistemas de dunas y marismas. Formaciones generalmente limitadas a pequeñas áreas en la zona de contacto entre dunas y marismas. Pal. 15.14 ¿ Comunidades euroasiáticas de Crypsis spp. Formaciones anuales poco densas de Crypsis spp. y Heleochloa spp. sobre suelos hipersalinos (Solonchak). Colonizan lodos secos o húmedos en depresiones de marismas o estepas salinas (Pal. 15.A) de Eurasia, desde Panonia hasta Lejano Oriente.","28.872.700"
"1320","Pastizales de espartina (Spartinion maritimi)","Perennial pioneer grasslands of coastal salt muds, formed by Spartina or similar grasses. When selecting sites, preference should be given to those areas supporting rare or local Spartina. Sub-types 15.21 - Flat-leaved cordgrass swards: perennial pioneer grasslands of coastal salt muds, dominated by flat-leaved Spartina maritima, S. townsendii, S. anglica, S. alterniflora. 15.22 - Rush-leaved cordgrass swards: perennial pioneer grasslands of southern Iberian coastal salt muds, dominated by the junciform-leaved Spartina densiflora.","0"
"1330","Pastizales salinos atlánticos (Glauco- Puccinellietalia maritimae)","Pastizales salinos atlánticos (Mar Báltico, Mar del Norte, Canal de la Mancha, y costas atlánticas).","0"
"14","Marismas y pastizales salinos mediterráneos y termoatlánticos","",""
"1410","Pastizales salinos mediterráneos (Juncetalia maritimi)","Conjunto de comunidades mediterráneas de Juncetalia maritimi.Conjunto de comunidades mediterráneas de Juncetalia maritimi.Subtipos: Pal. 15.51: Formaciones de hierbas altas dominadas por Juncus maritimus y/o Juncus acutus. Pal. 15.52: Formaciones de vegetación de escasa altura de marismas y praderas húmedas del litoral, rica es especies anuales y leguminosas (Fabaceae) (Trifolium squamosi). Pal. 15.53: Praderas mediterráneas sobre sustratos arenosos salinos (Plantaginion crassifoliae). Pal. 15.54: Praderas salinas ibéricas (Puccinellion fasciculatae). Pal. 15.55: Lagunas costeras y márgenes de costas salobres ([Puccinellion festuciformis]). Pal. 15.57: Turberas salinas húmedas con el estrato herbáceo alto dominado por Artemisia coerulescens (Agropyro-Artemision coerulescentis) ","104.739.200"
"1420","Matorrales halófilos mediterráneos y termoatlánticos (Sarcocornetea fructicosae)","Vegetación perenne de suelos salinos no mareales de marismas y estuarios, compuestas principalmente por matorrales de distribución mediterránea y termoatlántica (comunidades de Salicornia, Limoniun vulgare y Atriplex) pertenecientes a la clase (Sarcocornetea fruticosi).","337.380.500"
"1430","Matorrales halo-nitrófilos (Pegano-Salsoletea)","Matorrales halo-nitrófilos pertenecientes a la Clase Pegano-Salsoletea, típicos de suelos secos bajo climas áridos, incluyendo en ocasiones algunos de los arbustos más altos y densos de estas zonas climáticas.","605.933.500"
"15","Estepas continentales halófilas y gipsófilas","",""
"1510","Estepas salinas mediterráneas (Limonietalia) (*)","Asociaciones ricas en hierbas perennes arrosetadas del género Limonium spp. o albardinales (Lygeum spartum), que ocupan suelos temporalmente saturados (aunque no inundados) por aguas salinas y sujetos a una intensa sequía por estiaje, por lo que forman eflorescencias o costras superficiales de sal, distribuidas a lo largo de la costa mediterránea y en los bordes de saladares interiores de la Península Ibérica. Los sintaxa característicos son Limonietalia, Arthrocnemetalia, Thero-Salicornietalia y Saginetalia maritimae. Los siguientes sintaxa corresponden a diferentes subtipos regionales: Arthrocnemetalia: Suaedion braunblanquetii (áreas continentales de la Península Ibérica), Arthrocnemion glauci. Limonietalia: Limonion catalaunico-viciosoi (Aragón), Lygeo-Limonion furfuracei (SE de la Península Ibérica), Lygeo-Lepidion cardamines (Castilla-La Mancha). Thero-Salicornietalia: Microcnemion coralloidis (áreas continentales de la Península Ibérica), Salicornion patulae. Saginetalia maritimae: Frankenion pulverulentae, Thero-Suaedion.","157.287.600"
"1520","Vegetación gipsícola ibérica (Gypsophiletalia) (*)","Matorrales abiertos desarrollados sobre suelos ricos en yesos de la Península Ibérica y caracterizados por la presencia de numerosas plantas especialistas (gipsófitos). Las especies características corresponden a las propias de Lepidion subulati, Gypsophilion hispanicae and ThymoTeucrion verticillati.","1.471.205.600"
"2","Dunas marítimas y continentales","",""
"21","Dunas marítimas de las costas atlánticas, del mar del Norte y del Báltico","",""
"2110","Dunas móviles embrionarias","Formaciones costeras que representan los primeros estadios de construcción dunar, formados por ripples (pequeñas ondulaciones arenosas) o por superficies arenosas elevadas en la zona alta de la playa, o por una orla arenosa a barlovento de las primeras dunas altas.","0"
"2120","Dunas móviles de litoral con Ammophila arenaria (dunas blancas)","Dunas móviles que forman el cordón o cordones dunares más externos (hacia mar) de las costas.","0"
"2130","Dunas costeras fijas con vegetación herbácea (dunas grises) (*)","Dunas fijas, estabilizadas y colonizadas por céspedes más o menos densos de perennes y abundantes coberteras de líquenes y musgos, que aparecen en las costas atlánticas entre el Estrecho de Gibraltar y el Cabo Blanc Nez. Se incluye Euphorbio Helichrysion (código 16.222 ¿ termo-Atlántico hasta Gran Bretaña) y Crucianellion maritimae (código 16.223 ¿ del Estrecho de Gibraltar hasta el Cabo Prior en Galicia).","0"
"2150","Dunas fijas descalcificadas atlánticas (Calluno-Ulicetea) (*)","Dunas descalcificadas en Francia, Bélgica y Gran Bretaña, colonizadas por brezales de las alianzas Calluno-Genistion o Ulicion minoris, y de Iberia, colonizadas por brezales de la alianza Ericion umbellatae.","0"
"2190","Depresiones intradunares húmedas","Depresiones húmedas en sistemas dunares. Son hábitat extremadamente ricos y especializados, muy condicionados por el descenso de los niveles freáticos.","0"
"22","Dunas marítimas de las costas mediterráneas","",""
"2210","Dunas fijas de litoral del Crucianellion maritimae","Dunas fijas del oeste y centro del Mediterráneo, del Adriático, del mar Jónico y Norte de África con Crucianella maritima y Pancratium maritimum","0"
"2230","Dunas con céspedes del Malcomietalia","Asociaciones con plantas anuales y de floración primaveral efímera, con Malcolmia lacera, M. ramosissima, Evax astericiflora, E. lusitanica, Anthyllis hamosa o Linaria pedunculata en depresiones secas interdunares de los arenales costeros.","0"
"2240","Dunas con céspedes del Brachypodietalia y de plantas anuales.","Pseudoestepas con céspedes y plantas anuales del Thero-Brachypodietea, con formaciones meso y termomediterráneas xeróflas, en su mayoría abiertas, de hierbas cortas en pastos perennes ricos en terófitos, comunidades de terófitos de suelos oligotróficos ricos en bases, a menudo en sustratos calcáreos. Las especies incluidas pertenecen al Brachypodium.","0"
