"Código","Denominación","Observaciones"
"1","Sin medidas",""
"11","No se necesitan medidas para la conservación de la especie",""
"12","Se necesitan medidas, pero no se han implementado",""
"13","Se desconoce la medida o es imposible de aplicar una medida específica",""
"2","Medidas relacionadas con la agricultura y hábitats abiertos",""
"20","Otras medidas relacionadas con la agricultura",""
"21","Mantenimiento de pastizales /prados y otros hábitats abiertos","Siega, quema, pastoreo, eliminación/control de matorral y otras plantas leñosas"
"22","Adecuación de la productividad agrícola","Adecuación de la aportación de nutrientes y pesticidas/herbicidas"
"3","Medidas relacionadas con los bosques y hábitats forestales",""
"30","Otras medidas relacionadas con los bosques",""
"31","Restauración / mejora de hábitats forestales","Repoblación con especies autóctonas, promoción de la regeneración natural, eliminación de especies alóctonas, transformación de masas arbóreas monoespecíficas y coetáneas en masas pluriespecíficas y multigeneracionales, quemas/mantenimiento de un régimen de incendios"
"32","Adecuación del manejo del bosque","Adecuación de los ciclos de recolección, adecuación de técnicas y equipos"
"4","Medidas relacionadas con humedales, y hábitats costeros y de agua dulce",""
"40","Otras medidas relacionadas con los humedales","Restauración de aluviones"
"41","Restauración / mejora de la calidad del agua","Reducción de la carga de compuestos contaminantes en el agua"
"42","Restauración / mejora del régimen hidrológico","Restauración de la dinámica del río, eliminación de barreras y diques artificiales, manejo del nivel del agua (e.g. en turberas)"
"43","Gestión de las captaciones de agua","Gestión de los periodos y/o cantidad de agua captada para regadíos, producción de energía"
"44","Restauración de zonas costeras","Estabilización de dunas, reestablecimiento de la dinámica dunar, eliminación de infraestructuras costeras"
"5","Medidas relacionadas con los hábitats marinos",""
"50","Otras medidas relacionadas con los hábitats marinos",""
"51","Restauración de hábitats marinos","Control de especies invasoras, facilitación del reestablecimiento de comunidades naturales"
"6","Medidas relacionadas con la ordenación territorial",""
"60","Otras medidas de gestión espacial del territorio",""
"61","Establecimiento de áreas protegidas",""
"62","Establecimiento de áreas silvestres","Sin intervención tras desastres naturales, sucesión natural sin manejo"
"63","Protección legal de hábitats y especies","Protección legal independientemente de dónde existan (dentro o fuera de áreas protegidas), protección legal estricta para especies (incluidos sus hábitats)"
"64","Manejo de las características del paisaje","Mantenimiento y creación de corredores, setos"
"65","Adaptación / abolición del uso de terrenos con fines militares","Manejo natural en terrenos destinados al entrenamiento militar, abolición del uso militar del terreno"
"7","Medidas relacionadas con la caza, la recolección, la pesca y la gestión de las especies",""
"70","Otras medidas de gestión de las especies",""
"71","Regulación / gestión de la caza y la recolección","Regulación de la caza (periodos, especies), permisos de recogida de plantas, bayas, etc, regulación de la densidad poblacional de especies cinegéticas"
"72","Regulación / gestión de la pesca en medios de agua dulce","Control sobre el cupo, las especies y los métodos permitidos, eliminación de ciertas especies de peces, control de las medidas para potenciar la producción piscícola, mantenimiento de estanques tradicionales para peces"
"73","Regulación / gestión de la pesca en el mar y en aguas salobres","Adaptación de las técnicas y equipos de pesca, incluidas las que afectan al mejillón"
"74","Medidas de manejo específicas para una especie o un grupo de especies",""
"8","Medidas relacionadas con las áreas urbanas, la industria, la energía y el transporte",""
"80","Otras medidas",""
"81","Gestión de los residuos urbanos e industriales",""
"82","Gestión específica del tráfico rodado y los sistemas de transporte de energía","Medidas para reducir colisiones, mantenimiento de bordes de carreteras seminaturales, protección para las aves frente a la electrocución, regulación de la densidad del tráfico"
"83","Regulación del tráfico marítimo","Gestión de las rutas, velocidad de los barcos"
"9","Medidas relacionadas con el uso especial de los recursos",""
"90","Otras medidas de utilización de los recursos",""
"91","Regulación / gestión de la explotación de los recursos naturales terrestres","Gestión de embalses con anfibios, explotación eólica"
"92","Regulación / gestión de la explotación de los recursos naturales marinos","Gestión del petróleo, gas, grava, arena, viento que se explote en el mar"
