"Código","Denominación","Observaciones"
"A","Agricultura",""
"A.01","Cultivos","incluye el aumento de superficie agrícola"
"A.02","Modificación de prácticas agrícolas","incluye también el emplazamiento de cultivos perennes no maderables"
"A.02.01","Intensificación agrícola",""
"A.02.02","Cambio de cultivos",""
"A.02.03","Eliminación de praderas/ pastizales para uso agrícola",""
"A.03","Siega/ Desbroce de pastizales",""
"A.03.01","Siega intensiva/ intensificación",""
"A.03.02","Siega no intensiva",""
"A.03.03","Abandono/ ausencia de siega",""
"A.04","Pastoreo",""
"A.04.01","Pastoreo intensivo",""
"A.04.01.01","Pastoreo intensivo de ganado (vacuno)",""
"A.04.01.02","Pastoreo intensivo de ovejas",""
"A.04.01.03","Pastoreo intensivo de caballos",""
"A.04.01.04","Pastoreo intensivo de cabras",""
"A.04.01.05","Pastoreo intensivo de animales mixtos",""
"A.04.02","Pastoreo no intensivo",""
"A.04.02.01","Pastoreo no intensivo de ganado (vacuno)",""
"A.04.02.02","Pastoreo no intensivo de ovejas",""
"A.04.02.03","Pastoreo no intensivo de caballos",""
"A.04.02.04","Pastoreo no intensivo de cabras",""
"A.04.02.05","Pastoreo no intensivo de animales mixtos",""
"A.04.03","Abandono de los sistemas de pastoreo, ausencia de pastoreo",""
"A.05","Cría de ganado (sin pastoreo)",""
"A.05.01","Cría de animales",""
"A.05.02","Alimento para ganado",""
"A.05.03","Ausencia de cría de animales",""
"A.06","Cultivos no maderables anuales y perennes",""
"A.06.01","Cultivos anuales para producción de alimento",""
"A.06.01.01","Cultivos anuales intensivos para producción de alimentos/ intensificación",""
"A.06.01.02","Cultivos anuales no intensivos para producción de alimento",""
"A.06.02","Cultivos no maderables perennes","incluye olivares, huertos de árboles frutales y viñedos"
"A.06.02.01","Cultivos perennes intensivos no maderables/ intensificación",""
"A.06.02.02","Cultivos perennes no intensivos no maderables",""
"A.06.03","Producción de biofuel",""
"A.06.04","Abandono de la producción de cultivos",""
"A.07","Uso de biocidas, hormonas y productos químicos",""
"A.08","Uso de fertilizantes",""
"A.09","Regadío","incluye transición (temporal) de condiciones áridas a mésicas o húmedas causadas por el regadío"
"A.10","Concentraciones parcelarias",""
"A.10.01","Eliminación de setos y sotos o arbustos",""
"A.10.02","Eliminación de muros de piedra y de muros de contención",""
"A.11","Actividades agrícolas no mencionadas anteriormente",""
"B","Silvicultura, ciencias forestales",""
"B.01","Forestación de bosques en campo abierto","aumento de la superficie forestal, e.g. plantaciones en pastizales, brezales"
"B.01.01","Forestación en campo abierto (especies autóctonas)",""
"B.01.02","Plantación en campo abierto (especies alóctonas)","aumento de la superficies forestal"
"B.02","Gestión de bosques y plantaciones",""
"B.02.01","Repoblación","repoblación en suelo forestal tras tala"
"B.02.01.01","Repoblación (especies autóctonas)",""
"B.02.01.02","Repoblación (especies alóctonas)",""
"B.02.02","Cortas a hecho","tala, eliminación de todos los árboles"
"B.02.03","Eliminación del sotobosque",""
"B.02.04","Eliminación de árboles muertos o deteriorados",""
"B.02.05","Sacas no intensivas (dejando madera muerta/ árboles viejos intactos )",""
"B.02.06","Clareo de bosques",""
"B.03","Aprovechamiento forestal sin repoblación  o regeneración natural","disminución de las zonas forestales"
"B.04","Uso de biocidas, hormonas y productos químicos (silvicultura)",""
"B.05","Uso de fertilizantes (silvicultura)",""
"B.06","Pastoreo en bosques",""
"B.07","Actividades forestales no mencionadas anteriormente","e.g. erosión debida a la tala de bosques, fragmentación"
"C","Actividad minera y extractiva y producción de energía",""
"C.01","Minas y canteras",""
"C.01.01","Extracción de arena y grava",""
"C.01.01.01","Canteras de arena y grava",""
"C.01.01.02","Extracción de áridos de playa",""
"C.01.02","Pozos de limos y arcillas",""
"C.01.03","Extracción de turba",""
"C.01.03.01","Extracción manual de turba",""
"C.01.03.02","Extracción mecánica de turba",""
"C.01.04","Minas",""
"C.01.04.01","Minería a cielo abierto",""
"C.01.04.02","Minería subterránea",""
"C.01.05","Salinas",""
"C.01.05.01","Abandono de salinas",""
"C.01.05.02","Conversión de salinas","e.g. para acuicultura o campos de arroz"
"C.01.06","Estudios geotécnicos",""
"C.01.07","Minería y actividades de extracción no mencionadas anteriormente",""
"C.02","Prospección y extracción de petróleo o gas natural",""
"C.02.01","Perforación de prospección",""
"C.02.02","Perforación de producción",""
"C.02.03","Plataforma de perforación (marina) autoelevable",""
"C.02.04","Plataforma de perforación (marina) semisumergibles",""
"C.02.05","Buque de perforación",""
"C.03","Uso de energías renovables abióticas",""
"C.03.01","Producción de energía geotérmica",""
"C.03.02","Producción de energía solar",""
"C.03.03","Producción de energía eólica",""
"C.03.04","Producción de energía maremotriz",""
"D","Transportes y redes de comunicación",""
"D.01","Carreteras, caminos y vías de tren",""
"D.01.01","Sendas, pistas, carriles para bicicletas","incluye caminos forestales sin asfaltar"
"D.01.02","Carreteras y autopistas","todas las carreteras pavimentadas/ asfaltadas"
"D.01.03","Parques y áreas de estacionamiento de coches",""
"D.01.04","Líneas de ferrocarril, tren de alta velocidad",""
"D.01.05","Puentes, viaductos",""
"D.01.06","Túneles",""
"D.02","Infraestructuras lineales de servicio público",""
"D.02.01","Tendidos eléctricos y líneas telefónicas",""
"D.02.01.01","Líneas suspendidas",""
"D.02.01.02","Líneas subterráneas/ sumergidas",""
"D.02.02","Oleoductos, gasoductos",""
"D.02.03","Mástiles y antenas de comunicación",""
"D.02.09","Otras formas de transporte de energía",""
"D.03","Rutas de navegación, puertos, construcciones marinas",""
"D.03.01","Áreas portuarias",""
"D.03.01.01","Gradas/ rampas para barcos",""
"D.03.01.02","Muelles/ puertos turísticos o embarcaderos recreativos",""
"D.03.01.03","Puertos pesqueros",""
"D.03.01.04","Puertos industriales",""
"D.03.02","Rutas de navegación ","incluye canales"
"D.03.02.01","Rutas de cargueros","impacto acústico sobre algunos cetáceos"
"D.03.02.02","Rutas de ferrys de pasajeros (alta velocidad)","colisión con algunos cetáceos"
"D.03.03","Construcciones marinas",""
"D.04","Aeropuertos, rutas de vuelo",""
"D.04.01","Aeropuertos",""
"D.04.02","Aeródromos, helipuertos",""
"D.04.03","Rutas de vuelo",""
"D.05","Mejora de accesos",""
"D.06","Otras formas de transporte y comunicaciones",""
"E","Urbanización, desarrollo residencial y comercial",""
"E.01","Zonas urbanas, asentamientos humanos",""
"E.01.01","Zonas de crecimiento urbano continuo",""
"E.01.02","Zonas de crecimiento urbano discontinuo",""
"E.01.03","Población dispersa",""
"E.01.04","Otros patrones de distribución poblacional",""
"E.02","Áreas industriales o comerciales",""
"E.02.01","Fábricas",""
"E.02.02","Naves industriales",""
"E.02.03","Otras áreas industriales/ comerciales","incluye centros comerciales"
"E.03","Residuos",""
"E.03.01","Eliminación de residuos domésticos y  provenientes de instalaciones recreativas",""
"E.03.02","Eliminación de residuos industriales",""
"E.03.03","Eliminación de residuos inertes ",""
"E.03.04","Otros residuos",""
"E.03.04.01","Aporte de áridos en el litoral/  enriquecimiento sedimentario en playas",""
"E.04","Construcciones y edificios en el paisaje",""
"E.04.01","Construcciones agrícolas y edificios en el paisaje",""
"E.04.02","Construcciones militares y edificios en el paisaje","excepto vías de comunicación (e.g. Aeropuertos se señalan en sección D)"
"E.05","Naves de almacenamiento",""
"E.06","Otras actividades urbanísticas, industriales o similares",""
"E.06.01","Demolición de edificios y otras construcciones humanas","incluidos puentes, muros¿"
"E.06.02","Reconstrucción y renovación de edificios",""
"F","Uso de recursos biológicos diferentes de agricultura y silvicultura",""
"F.01","Acuicultura marina y de agua dulce",""
"F.01.01","Piscicultura intensiva, intensificación",""
"F.01.02","Cultivo en suspensión","e.g. mejillones, algas marinas, peces"
"F.01.03","Cultivo de fondo","e.g. marisco"
"F.02","Pesca y recolección de recursos acuáticos","incluye efectos de la captura accidental en el resto de subcategorías "
"F.02.01","Pesca profesional pasiva","incluidas otras técnicas de pesca no listadas en las subcategorías"
"F.02.01.01","Nasas",""
"F.02.01.02","Artes de red",""
"F.02.01.03","Palangre",""
"F.02.01.04","Palangre pelágico",""
"F.02.02","Pesca profesional activa",""
"F.02.02.01","Arrastre de fondo o demersal",""
"F.02.02.02","Arrastre pelágico","red rastrera"
"F.02.02.03","Cerco demersal",""
"F.02.02.04","Red de cerco con jareta",""
"F.02.02.05","Draga de arrastre bentónico",""
"F.02.03","Pesca deportiva","diferentes a la pesca con cebo"
"F.02.03.01","Recolección de cebo",""
"F.02.03.02","Pesca a caña","e.g. esturión"
"F.02.03.03","Pesca submarina","e.g. sobrepesca de Scyllarides"
"F.03","Caza y captura de animales salvajes (terrestres)",""
"F.03.01","Caza",""
"F.03.01.01","Daños causados por la caza (exceso de densidad de población)",""
"F.03.02","Captura y eliminación de animales (terrestres)",""
"F.03.02.01","Captura de animales (insectos, reptiles, anfibios,¿)",""
