"Id","Nombre científico","Reino","Phylum","Clase","Orden","Familia","Genero","Especie","Infraespecífico","Autor"
"3435","Abax parallelepipedus ---","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Abax","parallelepipedus","---",""
"105","Abdera affinis ---","Animalia","Arthropoda","Insecta","Coleoptera","Melandryidae","Abdera","affinis","---",""
"1745","Abdera flexuosa ---","Animalia","Arthropoda","Insecta","Coleoptera","Melandryidae","Abdera","flexuosa","---",""
"3901","Abdera quadrifasciata ---","Animalia","Arthropoda","Insecta","Coleoptera","Melandryidae","Abdera","quadrifasciata","---",""
"132","Abies alba ---","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","alba","---","Mill."
"7","Abietinella abietina var. abietina","Plantae","Bryophyta","Bryopsida","Hypnales","Thuidiaceae","Abietinella","abietina","var. abietina",""
"8","Abietinella abietina var. hystricosa","Plantae","Bryophyta","Bryopsida","Hypnales","Thuidiaceae","Abietinella","abietina","var. hystricosa",""
"2408","Ablattaria laevigata ---","Animalia","Arthropoda","Insecta","Coleoptera","Silphidae","Ablattaria","laevigata","---",""
"4638","Ablattaria subtriangula ---","Animalia","Arthropoda","Insecta","Coleoptera","Silphidae","Ablattaria","subtriangula","---",""
"2019","Abraxas grossulariata ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Abraxas","grossulariata","---",""
"3423","Abraxas pantaria ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Abraxas","pantaria","---",""
"4787","Abutilon theophrasti ---","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon","theophrasti","---",""
"64","Acanthocinus aedilis ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Acanthocinus","aedilis","---",""
"2016","Acanthocinus griseus ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Acanthocinus","griseus","---",""
"1561","Acanthodactylus erythrurus ---","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Acanthodactylus","erythrurus","---",""
"5123","Acasis viretata ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Acasis","viretata","---",""
"2780","Acaulon mediterraneum ---","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Acaulon","mediterraneum","---",""
"4881","Acaulon triquetrum ---","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Acaulon","triquetrum","---",""
"1905","Accipiter gentilis ---","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","gentilis","---",""
"3153","Accipiter nisus ---","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","nisus","---",""
"809","Acer campestre ---","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","campestre","---",""
"2938","Acer monspessulanum ---","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","monspessulanum","---",""
"2939","Acer monspessulanum x A. campestre ---","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","monspessulanum x A. campestre","---",""
